# STAR T-pose vertices
# Vertex count: 6890
# Format: x y z
0.053226 0.342711 -0.020438
0.047855 0.329190 -0.037475
0.037688 0.328482 -0.046818
0.036530 0.343846 -0.044029
0.044849 0.344132 -0.033877
0.020975 0.308652 0.054229
0.022569 0.298125 0.050964
0.035690 0.300771 0.044871
0.032822 0.312298 0.047193
0.062371 0.315005 -0.012720
0.058528 0.319152 -0.029316
0.064771 0.413101 -0.034643
0.069032 0.415208 -0.022684
0.051821 0.318469 -0.043033
0.044726 0.360000 -0.032107
0.053150 0.357976 -0.020249
0.027090 0.380057 -0.054086
0.030520 0.396873 -0.064491
0.023609 0.433723 0.102510
0.026904 0.448713 0.095173
0.027588 0.452571 0.094770
0.023669 0.453537 0.094100
0.022440 0.450460 0.095002
0.015493 0.490804 0.105675
0.013896 0.474033 0.107546
0.027203 0.477799 0.106255
0.028802 0.491271 0.102063
0.054693 0.418116 0.091015
0.045309 0.424548 0.097158
0.042389 0.415462 0.100589
0.048559 0.407502 0.096356
0.051429 0.455460 0.085091
0.053114 0.457625 0.084983
0.050484 0.457486 0.087615
0.045726 0.393139 0.097033
0.052408 0.397747 0.090890
0.073810 0.427105 0.051905
0.062481 0.457821 0.073942
0.024711 0.560770 0.034940
0.024231 0.547620 0.065587
0.027174 0.559546 -0.037610
0.025627 0.564176 -0.001449
0.048131 0.507823 -0.079502
0.045046 0.483111 -0.087494
0.025943 0.487101 -0.097232
0.026674 0.515959 -0.087627
0.035120 0.413408 -0.076123
0.026962 0.328338 -0.052572
0.025508 0.345216 -0.051286
0.022897 0.528515 0.085635
0.018488 0.508631 0.097723
0.073941 0.473297 0.045480
0.065694 0.430325 0.076037
0.060957 0.438134 0.080587
0.058626 0.434184 0.085205
0.063016 0.423741 0.081230
0.068836 0.421102 0.067431
0.071148 0.411945 0.055155
0.073360 0.403350 0.040962
0.071511 0.392540 0.033820
0.081503 0.489987 -0.024961
0.075997 0.503013 -0.038299
0.065249 0.517764 -0.051052
0.049401 0.531003 -0.061693
0.083084 0.479487 -0.018903
0.027296 0.541558 -0.067686
0.014478 0.405374 0.116429
0.021810 0.404800 0.111207
0.012427 0.409808 0.115738
0.013402 0.379090 0.116440
0.008823 0.378751 0.118181
0.009687 0.372925 0.114848
0.015015 0.373440 0.113245
0.019374 0.337690 0.088338
0.029773 0.342239 0.083384
0.019960 0.319216 0.059182
0.031038 0.323072 0.051162
0.011850 0.419136 0.119412
0.010058 0.419513 0.119781
0.009786 0.418359 0.117582
0.012046 0.418253 0.117203
0.026610 0.388313 0.107817
0.010213 0.396742 0.120472
0.006856 0.396597 0.121269
0.007063 0.392825 0.119601
0.010553 0.392900 0.118773
0.047120 0.350081 0.056903
0.043920 0.340629 0.045989
0.061781 0.322493 0.010298
0.061579 0.336626 0.012711
0.059804 0.356246 -0.004540
0.035628 0.362415 -0.043459
0.026468 0.362394 -0.051789
0.000921 0.365436 -0.058849
0.000280 0.381446 -0.062833
0.014465 0.380266 -0.061053
0.013457 0.364027 -0.056856
0.031806 0.338799 0.068277
0.020415 0.334114 0.074686
0.020279 0.328627 0.065017
0.031134 0.332883 0.057324
0.006277 0.416093 0.121045
0.004820 0.415155 0.122817
0.005454 0.412777 0.120065
0.007341 0.414910 0.119080
0.013030 0.416140 0.115398
0.010665 0.415103 0.115773
0.011223 0.413019 0.115715
0.013486 0.418908 0.120040
0.013975 0.417465 0.117245
0.008408 0.419858 0.124998
0.011432 0.419636 0.123196
0.008526 0.420039 0.130061
0.007828 0.417165 0.119394
0.008540 0.415866 0.117795
0.011765 0.417187 0.115899
0.010001 0.416850 0.116236
0.008690 0.419868 0.122853
0.010656 0.419626 0.121469
0.008540 0.441844 0.121339
0.002190 0.443091 0.124100
0.002067 0.436253 0.129978
0.002030 0.428265 0.135255
0.002006 0.419855 0.133257
0.010839 0.325710 0.069179
0.010649 0.316455 0.063428
